name, dataset, enc, dec, sampler, epochs, lr, early_stopping, dim, hiddens, readout, est, time, micro, macro, samples, weighted, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-random, 500, 0.02, 20, 64, [64], mean, jsd, 21-01-17 19:10:52, 0.779, 0.7592, 0.779, 0.7765, 
ss_nodemodel, cora, gat, inner, node-rand_walk-random, 500, 0.01, 20, 256, [256], mean, jsd, 21-01-17 17:44:59, 0.7702, 0.763, 0.7702, 0.7696, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-except_neighbor, 500, 0.001, 20, 256, [256, 256, 256], mean, jsd, 21-01-17 23:00:29, 0.7647, 0.7573, 0.7647, 0.7638, 
ss_nodemodel, cora, gat, bilinear, node-rand_walk-random, 500, 0.01, 20, 256, [256], mean, jsd, 21-01-18 00:36:27, 0.7642, 0.7647, 0.7642, 0.7644, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-random, 500, 0.001, 20, 256, [256, 256, 256], mean, jsd, 21-01-17 20:46:27, 0.7619, 0.7565, 0.7619, 0.7614, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-except_neighbor, 500, 0.03, 20, 64, [64], mean, jsd, 21-01-17 22:00:10, 0.7503, 0.7404, 0.7503, 0.7486, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-random, 500, 0.03, 20, 64, [64], mean, jsd, 21-01-17 19:15:49, 0.7494, 0.7333, 0.7494, 0.7462, 
ss_nodemodel, cora, gat, inner, node-neighbor-except_neighbor, 500, 0.001, 20, 512, [512, 512, 512], mean, jsd, 21-01-17 17:20:34, 0.7467, 0.7403, 0.7467, 0.7451, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-random, 500, 0.001, 20, 512, [512], mean, jsd, 21-01-17 21:14:13, 0.7462, 0.738, 0.7462, 0.7447, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-random, 500, 0.001, 20, 64, [64, 64, 64], mean, jsd, 21-01-17 19:28:53, 0.743, 0.7362, 0.743, 0.7428, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-except_neighbor, 500, 0.001, 20, 512, [512], mean, jsd, 21-01-17 23:29:11, 0.742, 0.7322, 0.742, 0.7409, 
ss_nodemodel, cora, gat, inner, node-rand_walk-except_neighbor, 500, 0.001, 20, 512, [512, 512, 512], mean, jsd, 21-01-17 18:57:28, 0.7388, 0.7318, 0.7388, 0.7391, 
ss_nodemodel, cora, gat, inner, node-rand_walk-except_neighbor, 500, 0.001, 20, 256, [256, 256, 256], mean, jsd, 21-01-17 18:20:19, 0.737, 0.732, 0.737, 0.7356, 
ss_nodemodel, cora, gat, inner, node-neighbor-except_neighbor, 500, 0.01, 20, 64, [64], mean, jsd, 21-01-17 16:46:42, 0.736, 0.7052, 0.736, 0.733, 
ss_nodemodel, cora, gat, bilinear, node-randwalk-except_neighbor, -, -, -, 512, [512, 512, 512], mean, jsd, 21-01-17 00:05:08, 0.7342, 0.7321, 0.7342, 0.7333, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-random, 500, 0.001, 20, 256, [256, 256], mean, jsd, 21-01-17 20:27:46, 0.731, 0.7219, 0.731, 0.7291, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-except_neighbor, 500, 0.01, 20, 256, -, mean, jsd, 21-01-17 22:23:33, 0.7305, 0.7212, 0.7305, 0.7294, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-except_neighbor, 500, 0.01, 20, 64, [64, 64, 64], mean, jsd, 21-01-17 22:05:04, 0.7259, 0.7147, 0.7259, 0.7253, 
ss_nodemodel, cora, gat, inner, node-rand_walk-except_neighbor, 500, 0.001, 20, 512, [512, 512], mean, jsd, 21-01-17 18:41:46, 0.7217, 0.7154, 0.7217, 0.7211, 
ss_nodemodel, cora, gat, bilinear, node-rand_walk-random, 500, 0.001, 20, 256, [256, 256], mean, jsd, 21-01-18 01:28:06, 0.7194, 0.7097, 0.7194, 0.7193, 
ss_nodemodel, cora, gat, bilinear, node-neighbor-random, 500, 0.001, 20, 512, [512, 512, 512], mean, jsd, 21-01-17 21:57:07, 0.7093, 0.7057, 0.7093, 0.707, 
ss_nodemodel, cora, gat, inner, node-neighbor-except_neighbor, 500, 0.001, 20, 512, [512], mean, jsd, 21-01-17 17:13:24, 0.7065, 0.7057, 0.7065, 0.7056, 
